symbol,dir,regime,entry_date,exit_date,entry,exit,size,pnl,pnl_pct,reason,hold_days,exit_month
BTC-USD,LONG,trend,2025-02-20,2025-02-21,98354.1525,96133.88901,0.3755277067451715,-869.8713956501502,-2.355159716322092,Bearish cross exit,1,2025-02
GLD,LONG,trend,2025-04-04,2025-05-01,279.7479732208252,297.4302454559326,177.1115492886722,3121.198964188343,6.299522381920989,ATR trailing stop,27,2025-05
GLD,LONG,trend,2025-05-05,2025-05-14,306.9106928833008,293.1306876617432,167.06748025902363,-2311.9852713966634,-4.50900919387384,ATR trailing stop,9,2025-05
BTC-USD,LONG,trend,2025-04-27,2025-06-05,93796.17465,101457.92566,0.4090375207470932,3092.4435393398253,8.060342665946871,ATR trailing stop,39,2025-06
ETH-USD,LONG,trend,2025-05-26,2025-06-20,2564.9818499999997,2405.286755,8.67772761996322,-1406.6629599619419,-6.319747711080279,ATR trailing stop,25,2025-06
BTC-USD,LONG,trend,2025-07-16,2025-08-19,118689.74521499999,112816.50353,0.41652191986398984,-2493.324449104067,-5.04345019671798,ATR trailing stop,34,2025-08
ETH-USD,LONG,trend,2025-07-31,2025-08-19,3700.2391949999997,4073.5522050000004,7.128445555111985,2632.1033716907327,9.978799702839233,ATR trailing stop,19,2025-08
ETH-USD,LONG,trend,2025-08-20,2025-09-22,4338.328079999999,4196.98046,5.2919545570740505,-770.2154116618166,-3.3548546300813555,ATR trailing stop,33,2025-09
BTC-USD,LONG,trend,2025-10-07,2025-10-10,121393.61647499999,112718.11275,0.41508439194752644,-3647.853717822427,-7.2394431379016115,Hard stop-loss,3,2025-10
